country	code	year	arrivals	rec_exports	rec_cusd	rec_ptransi	rec_traveli	transport	travel	comserexp	gni_pc	inflation	gdp_deflator
Albania	ALB	YR1987	.	.	.	.	.	30.672645739910	8.968609865471	22300000.000000000000	680.000000000000	0.000028259267	5.143105322743
Albania	ALB	YR1988	.	.	.	.	.	22.195945945946	10.135135135135	29600000.000000000000	670.000000000000	0.000001563057	5.143105403133
Albania	ALB	YR1989	.	.	.	.	.	19.701492537313	8.208955223881	40200000.000000000000	720.000000000000	-0.000001696763	5.143105315867
Albania	ALB	YR1990	.	.	.	.	.	20.000000000000	11.111111111111	31500000.000000000000	640.000000000000	-0.468707661878	5.118999187193
Albania	ALB	YR1991	.	.	.	.	.	17.608695652174	1.086956521739	9200000.000000000000	410.000000000000	34.540116629077	6.887107476691
Albania	ALB	YR1992	.	.	.	.	.	15.873015873016	63.492063492064	18900000.000000000000	290.000000000000	249.682690877238	24.083022748100
Albania	ALB	YR1993	.	.	.	.	.	11.980874316940	77.732240437159	73200000.000000000000	320.000000000000	114.835650220549	51.738918513643
Albania	ALB	YR1994	.	.	.	.	.	14.732824427481	74.300254452926	78600000.000000000000	410.000000000000	37.024733849322	70.895115389837
Albania	ALB	YR1995	41000.000000000000	23.180770497201	70400000.000000000000	5400000.000000000000	65000000.000000000000	19.062832800852	69.329073482428	93900000.000000000000	660.000000000000	9.838891701295	77.870409014551
Albania	ALB	YR1996	64000.000000000000	25.154196835613	93800000.000000000000	16800000.000000000000	77000000.000000000000	24.592833876222	62.540716612378	122800000.000000000000	900.000000000000	28.418485616678	100.000000000000
Albania	ALB	YR1997	23000.000000000000	15.109272416584	33600000.000000000000	6600000.000000000000	27000000.000000000000	23.425499231951	52.035330261137	52080000.000000000000	810.000000000000	13.943100397675	113.943100397675
Albania	ALB	YR1998	22000.000000000000	20.446752894049	60230000.000000000000	6230000.000000000000	54000000.000000000000	15.472017406020	65.115435754865	82730000.000000000000	890.000000000000	13.556006146155	129.389234090703
Albania	ALB	YR1999	26000.000000000000	40.044085231448	218000000.000000000000	7000000.000000000000	211000000.000000000000	6.121642969984	83.333333333333	253200000.000000000000	980.000000000000	4.476067235408	135.180783203982
Albania	ALB	YR2000	32000.000000000000	56.574271499645	398000000.000000000000	9000000.000000000000	389000000.000000000000	4.011194029851	90.811567164179	428800000.000000000000	1170.000000000000	4.321519299668	141.022646839584
Albania	ALB	YR2001	34000.000000000000	53.767286599905	451000000.000000000000	5000000.000000000000	446000000.000000000000	3.111111111111	90.181818181818	495000000.000000000000	1340.000000000000	3.458276670262	145.899600135024
Albania	ALB	YR2002	36000.000000000000	53.756391766094	492000000.000000000000	5000000.000000000000	487000000.000000000000	3.413741895759	88.174146111775	552180000.000000000000	1400.000000000000	3.300195871863	150.714572715745
Albania	ALB	YR2003	41000.000000000000	46.018684292764	537000000.000000000000	15000000.000000000000	522000000.000000000000	9.907310330080	75.166366146577	694576318.678108000000	1660.000000000000	3.383486070354	155.813979289575
Albania	ALB	YR2004	32000.000000000000	47.050380415729	756000000.000000000000	21000000.000000000000	735000000.000000000000	9.849712365675	73.738268038538	997190792.378930000000	2110.000000000000	6.007744671022	165.174885327052
Albania	ALB	YR2005	48000.000000000000	48.328047805247	880000000.000000000000	26000000.000000000000	854000000.000000000000	10.924333274898	73.985726506690	1154168488.207230000000	2610.000000000000	3.469252199657	170.905218669541
Albania	ALB	YR2006	60000.000000000000	46.019604966565	1057000000.000000000000	45000000.000000000000	1012000000.000000000000	11.021127423599	68.335735294074	1481071121.724790000000	2990.000000000000	1.995241221097	174.315190041441
Albania	ALB	YR2007	57000.000000000000	34.880533530789	1055000000.000000000000	53000000.000000000000	1002000000.000000000000	8.224423148789	71.643671118220	1923861625.624380000000	3360.000000000000	3.159811187840	179.823220918476
Albania	ALB	YR2008	.	.	.	.	.	8.750648871976	70.830534196584	2419237252.389290000000	3840.000000000000	2.457240472151	184.241909881209
Algeria	DZA	YR1960	.	.	.	.	.	.	.	.	.	.	21.118520674267
Algeria	DZA	YR1961	.	.	.	.	.	.	.	.	.	3.471720041700	21.851696589026
Algeria	DZA	YR1962	.	.	.	.	.	.	.	.	190.000000000000	2.351279502047	22.365491051773
Algeria	DZA	YR1963	.	.	.	.	.	.	.	.	240.000000000000	0.549331310901	22.488351696957
Algeria	DZA	YR1964	.	.	.	.	.	.	.	.	250.000000000000	1.695183177128	22.869570451738
Algeria	DZA	YR1965	.	.	.	.	.	.	.	.	250.000000000000	1.501331249129	23.212918459471
Algeria	DZA	YR1966	.	.	.	.	.	.	.	.	230.000000000000	1.817814693509	23.634886302020
Algeria	DZA	YR1967	.	.	.	.	.	.	.	.	260.000000000000	1.312040991290	23.944985698547
Algeria	DZA	YR1968	.	.	.	.	.	.	.	.	290.000000000000	3.142056012738	24.697350561438
Algeria	DZA	YR1969	.	.	.	.	.	.	.	.	310.000000000000	1.921084494283	25.171807533572
Algeria	DZA	YR1970	.	.	.	.	.	.	.	.	330.000000000000	4.940445976572	26.415407086095
Algeria	DZA	YR1971	.	.	.	.	.	.	.	.	310.000000000000	17.151963863596	30.946168163924
Algeria	DZA	YR1972	.	.	.	.	.	.	.	.	420.000000000000	-4.606461074322	29.520644973459
Algeria	DZA	YR1973	.	.	.	.	.	.	.	.	490.000000000000	9.627611594794	32.362778011781
Algeria	DZA	YR1974	.	.	.	.	.	.	.	.	610.000000000000	48.896590521514	48.187073057589
